,precision,recall,f1-score,support
0,0.9818181818181818,1.0,0.9908256880733946,54.0
1,1.0,1.0,1.0,55.0
2,0.9821428571428571,1.0,0.990990990990991,55.0
3,0.9649122807017544,0.9821428571428571,0.9734513274336283,56.0
4,1.0,0.9636363636363636,0.9814814814814815,55.0
5,1.0,1.0,1.0,56.0
6,1.0,1.0,1.0,56.0
7,0.9824561403508771,1.0,0.9911504424778761,56.0
8,1.0,0.9642857142857143,0.9818181818181818,56.0
accuracy,0.9899799599198397,0.9899799599198397,0.9899799599198397,0.9899799599198397
macro avg,0.9901477177792967,0.9900072150072149,0.9899686791417283,499.0
weighted avg,0.9901576563927581,0.9899799599198397,0.9899601010797829,499.0
